,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,13800.0,1860.0,540.0,500.0,20.0,0.0,58.5
1,13780.0,1880.0,540.0,500.0,20.0,0.0,86.0
2,13530.0,1900.0,580.0,520.0,20.0,0.0,84.5
3,14680.0,1960.0,580.0,480.0,20.0,0.0,106.0
4,14040.0,2120.0,600.0,500.0,20.0,0.0,72.0
5,13960.0,2140.0,600.0,530.0,40.0,0.0,120.5
6,13320.0,1960.0,560.0,480.0,20.0,0.0,99.0
7,13780.0,1920.0,560.0,480.0,20.0,0.0,104.0
8,14760.0,2110.0,600.0,520.0,40.0,0.0,113.5
9,15200.0,2320.0,660.0,640.0,60.0,20.0,68.0
10,14060.0,1880.0,530.0,500.0,20.0,0.0,43.0
11,13850.0,1940.0,560.0,500.0,20.0,0.0,88.0
12,22840.0,2380.0,610.0,560.0,40.0,0.0,48.0
13,13820.0,1900.0,560.0,460.0,20.0,0.0,65.0
14,14320.0,2340.0,680.0,560.0,20.0,0.0,96.0
15,14680.0,2690.0,820.0,700.0,60.0,20.0,68.5
16,13440.0,2140.0,610.0,500.0,20.0,0.0,87.0
17,12400.0,2040.0,600.0,480.0,20.0,0.0,144.5
