,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,35120.0,1460.0,340.0,340.0,20.0,0.0,45.0
1,33270.0,1460.0,340.0,300.0,20.0,0.0,108.5
2,32520.0,1560.0,360.0,340.0,20.0,0.0,77.0
3,26560.0,1140.0,300.0,280.0,20.0,0.0,111.0
4,23320.0,980.0,260.0,260.0,20.0,0.0,78.0
5,22700.0,1040.0,300.0,260.0,20.0,0.0,103.5
6,21320.0,1120.0,360.0,360.0,40.0,0.0,94.5
7,20520.0,1040.0,280.0,260.0,20.0,0.0,99.5
8,20000.0,1120.0,320.0,310.0,20.0,0.0,100.5
9,20180.0,1260.0,340.0,300.0,20.0,0.0,71.5
10,20520.0,1220.0,340.0,300.0,20.0,0.0,54.5
11,20170.0,1080.0,280.0,260.0,20.0,0.0,67.0
12,22090.0,1220.0,320.0,360.0,30.0,0.0,75.0
13,19040.0,1020.0,280.0,260.0,20.0,0.0,85.0
14,19120.0,1060.0,300.0,280.0,20.0,0.0,153.5
15,26540.0,2640.0,880.0,1080.0,140.0,40.0,82.0
16,21140.0,1320.0,390.0,400.0,60.0,20.0,100.0
17,19060.0,1140.0,320.0,300.0,20.0,0.0,105.0
