,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,70200.0,3450.0,300.0,220.0,0.0,0.0,41.0
1,69320.0,3180.0,320.0,220.0,20.0,0.0,95.0
2,68100.0,3000.0,300.0,220.0,20.0,0.0,72.5
3,71780.0,3220.0,300.0,240.0,20.0,0.0,112.0
4,74700.0,3380.0,300.0,240.0,20.0,0.0,80.5
5,81510.0,3960.0,380.0,320.0,20.0,0.0,112.5
6,86300.0,4240.0,340.0,260.0,20.0,0.0,90.5
7,86430.0,4480.0,340.0,240.0,20.0,0.0,91.0
8,88260.0,4700.0,360.0,260.0,20.0,0.0,85.5
9,83160.0,4040.0,320.0,240.0,20.0,0.0,73.0
10,86820.0,4360.0,320.0,200.0,10.0,0.0,49.0
11,91200.0,4570.0,340.0,240.0,20.0,0.0,90.5
12,93450.0,4820.0,340.0,280.0,40.0,0.0,75.5
13,96260.0,4920.0,340.0,280.0,20.0,0.0,80.5
14,94840.0,5100.0,380.0,260.0,20.0,0.0,129.0
15,97540.0,5040.0,400.0,300.0,40.0,0.0,78.5
16,94760.0,4820.0,340.0,240.0,20.0,0.0,89.5
17,97750.0,5180.0,380.0,260.0,20.0,0.0,105.5
