0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
13960, , , 680, 40, 0 
14540, 1820, 500, 600, 80, 40 
, 2160, 480, 540, 60, 0 
16200, 2700, 620, 580, 20, 0 
15500, 1940, 520, 400, 60, 0 
13740, 2240, 360, 560, 0, 0 
13460, 1780, 380, 540, 60, 20 
13440, 1720, 720, 420, 20, 0 
13600, 1700, 500, 440, 60, 20 
12600, 2080, 640, 380, 0, 0 
14860, 2140, 540, 540, 40, 0 
14420, 2280, 680, 540, 60, 0 
13920, 2240, 600, 480, 20, 0 
14500, 2180, 680, 540, 20, 0 
14620, 2300, 640, 380, 60, 0 
13100, 2020, 480, 400, 20, 0 
14680, 1920, 540, 420, 0, 0 
13780, 1540, 460, 500, 60, 0 
13840, 1820, 480, 440, 40, 0 
13520, 1880, 560, 600, 0, 0 
13820, 2240, 500, 460, 0, 0 
13820, 2200, 580, 660, 20, 0 
15200, 2000, 560, 400, 0, 0 
15520, 2140, 700, 440, 40, 20 
15240, 2160, 620, 500, 20, 0 
15840, 1980, 680, 420, 40, 0 
15580, 2440, 560, 440, 20, 0 
13580, 1960, 700, 560, 20, 0 
15000, 1640, 580, 600, 20, 20 
15420, 2480, 540, 340, 0, 40 
15160, 1960, 740, 420, 60, 0 
15340, 1700, 580, 420, 20, 0 
14740, 2080, 640, 420, 20, 0 
15780, 2260, 460, 580, 20, 0 
15860, 2220, 540, 420, 40, 0 
16460, 2120, 620, 420, 80, 20 
16320, 2120, 440, 340, 40, 20 
16380, 2040, 580, 560, 60, 20 
16100, 2060, 440, 500, 20, 40 
15720, 2400, 580, 340, 0, 0 
14260, 1920, 600, 400, 20, 20 
14440, 2140, 340, 520, 40, 0 
15040, 1960, 580, 240, 0, 40 
14220, 1980, 620, 300, 40, 20 
14300, 1820, 700, 480, 0, 20 
13540, 1860, 520, 360, 0, 0 
14080, 1620, 300, 420, 40, 0 
13800, 1860, 520, 460, , 0 
13440, 2080, 660, 600, 20, 0 
14620, 2160, 440, 480, 20, 0 
14500, 2180, 600, 560, 20, 0 
14100, 1980, 580, 400, 0, 0 
15260, 1660, 520, 420, 0, 0 
13920, 1720, 440, 560, 40, 0 
13900, 1960, 580, 540, 40, 20 
13600, 1740, 480, 440, 40, 20 
13840, 1960, 540, 280, 20, 0 
13300, 1940, 660, 260, 20, 0 
13800, 1900, 520, 240, 60, 20 
14340, 1620, 500, 260, 0, 0 
13340, 2120, 700, 620, 0, 0 
13740, 1920, 560, 660, 40, 0 
14440, 2420, 620, 420, 20, 40 
14660, 2160, 640, 520, 0, 0 
13380, 2140, 540, 480, 0, 20 
14560, 1920, 480, 680, 0, 20 
13780, 1720, 620, 540, 0, 20 
14840, 2200, 560, 500, 20, 0 
13780, 2200, 420, 500, 40, 20 
13560, 2100, 640, 540, 0, 0 
14940, 1880, 620, 440, 80, 20 
15380, 1900, 480, 440, 20, 0 
14300, 2280, 540, 500, 20, 20 
14860, 2320, 680, 500, 60, 0 
14480, 2120, 460, 600, 0, 0 
14240, 1860, 480, 480, 40, 0 
14340, 1740, 360, 480, 0, 0 
14040, 2160, 720, 540, 0, 20 
14960, 1900, 540, 440, 0, 0 
13620, 2380, 640, 520, 0, 0 
14820, 2340, 580, 620, 60, 20 
15000, 1880, 580, 520, 40, 0 
15740, 1920, 460, 480, 100, 0 
15180, 2460, 500, 420, 20, 0 
15140, 2300, 580, 740, 100, 0 
15080, 2060, 600, 600, 40,  
14460, 2020, 500, 620, 20, 20 
14000, 2500, 800, 540, 20, 0 
14480, 2040, 620, 500, 0, 40 
13680, 2220, 520, 400, 0, 0 
13580, 1880, , 680, 20, 20 
13560, 1680, 560, 560, 40, 20 
13880, 2000, 380, 320, 20, 20 
14440, 1920, 680, 620, 40, 0 
14140, 1600, 520, 360, 20, 0 
13220, 1980, 500, 480, 0, 20 
13740, 1880, 540, 460, 20, 0 
13800, 1760, 540, 520, 0, 0 
12920, 1900, 600, 360, 0, 0 
14080, 1960, 580, 380, 0, 0 
13800, 2120, 600, 460, 20, 0 
13220, 1900, 640, 300, 20, 0 
14040, 1760, 500, 520, 20, 0 
14520, 2060, 640, 560, 20, 20 
14220, 2440, 600, 460, 60, 0 
14700, 1780, 580, 380, 40, 0 
14500, 2080, 500, 280, 20, 0 
14300, 2020, 660, 420, 0, 0 
13760, 1860, 680, 420, 20, 0 
13760, 2020, 520, 420, 40, 20 
13920, 2100, 440, 520, 20, 0 
13480, 1900, 720, 360, 20, 0 
