0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
15780, 3820, , 960, 0, 0 
14860, 3340, 820, 900, 40, 0 
14380, 3160, 1060, 540, 20, 0 
14640, 3540, 1000, 580, 20, 0 
11900, 3020, 720, 740, 20, 0 
13500, 3100, 1020, 820, 20, 0 
14460, 3040, 920, 800, 40,  
13680, 2400, 820, 740, 60, 0 
13860, 2960, 900, 820, 0, 0 
13380, 3360, 920, 700, 20, 0 
14240, 3360, 960, 660, 60, 20 
13560, 2760, 1020, 520, 0, 0 
13980, 3200, 1100, 480, 60, 0 
15480, 3140, 820, 880, 60, 0 
14020, 2820, 780, 720, 20, 0 
13720, 3140, 860, 620, 20, 0 
12420, 3020, 760, 460, 0, 0 
12860, 2160, 660, 620, 40, 0 
11740, 2880, 740, 500, 0, 0 
12580, 2220, 720, 400, 20, 0 
11820, 2240, 540, 440, 20, 0 
12260, 2060, 760, 540, 20, 0 
13260, 2360, 500, 500, 40, 0 
13260, 2480, 820, 720, 0, 0 
12680, 2300, 560, 600, 20, 20 
11360, 2600, 740, 500, 20, 20 
11320, 1940, 640, 440, 40, 0 
11340, 2100, 600, 740, 40, 0 
11500, 2120, 680, 500, 0, 0 
11440, 2000, 680, 660, 20, 0 
11840, 2480, 460, 580, 40, 20 
12240, 2300, 640, 540, 20, 0 
