0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
12640, 1700, 540, 340, 40, 0 
13120, 1820, 440, 340, 40, 0 
13420, 1780, 420, 500, 20, 20 
14300, 1660, 420, 500, 20, 0 
13980, 2220, 500, 440, 60, 20 
13300, 1580, 480, 540, 40, 0 
13700, 1720, 440, 460, 0, 0 
13300, 1940, 600, 520, 20, 0 
13240, 1940, 660, 460, 40, 20 
13300, 2160, 600, 540, 0, 0 
14000, 1900, 660, 520, 20, 0 
13140, 1920, 620, 480, 0, 0 
12340, 1720, 740, 500, 0, 0 
13280, 1660, 480, 320, 20, 0 
12940, 1760, 640, 560, 20, 0 
13460, 1540, 480, 340, 20, 0 
12280, 2060, 400, 440, 20, 0 
12620, 1680, 360, 300, 20, 20 
13100, 2020, 440, 280, 0, 20 
12980, 1600, 580, 420, 0, 0 
12760, 1800, 380, 340, 0, 0 
12620, 2040, 460, 400, 0, 0 
13320, 1840, 520, 520, 40, 0 
13400, 1760, 260, 540, 20, 0 
12360, 2100, 480, 300, 20, 0 
13000, 1840, 580, 480, 0, 0 
12240, 1940, 500, 520, 60, 0 
12480, 1960, 460, 420, 0, 0 
12880, 1780, 500, 460, 0, 0 
12520, 1780, 440, 420, 20, 0 
13280, 1720, 580, 420, 100, 0 
12580, 1500, 440, 520, 20, 20 
14160, 1880, 640, 320, 40, 0 
13080, 1520, 600, 560, 80, 0 
13240, 1860, 360, 380, 80, 0 
13280, 2140, 460, 480, 40, 0 
13120, 1760, 600, 360, 40, 20 
13460, 1580, 560, 400, 40, 0 
13800, 2020, 540, 420, 20, 0 
12820, 1920, 460, 540, 40, 0 
13640, 1960, 480, 500, 60, 0 
13840, 2040, 740, 400, 20, 0 
14040, 1740, 260, 620, 60, 20 
13740, 2000, 440, 500, 0, 0 
13820, 1920, 600, 600, 0, 0 
13220, 1800, 540, 460, 0, 40 
13020, 1800, 620, 400, 60, 0 
12000, 1920, 740, 500, 20, 0 
14040, 2060, 460, 460, 20, 0 
13520, 2000, 640, 420, 60, 0 
14840, 1760, 400, 460, 40, 0 
13740, 1700, 500, 400, 0, 20 
13860, 1980, 680, 400, 20, 0 
17240, 1900, 500, 460, 0, 0 
20560, 1900, 500, 340, 20, 0 
21440, 1880, 520, 340, 0, 0 
19400, 1940, 500, 540, 40, 0 
21180, 1900, 400, 400, 20, 0 
25280, 2320, 460, 340, 0, 0 
, 2500, 520, 480, 40, 0 
, 2300, 600, 460, 60, 0 
, 2580, 580, 500, 0, 0 
, 2060, 620, 400, 20, 0 
23080, 2220, 500, 380, 20, 0 
23620, 1760, 620, 300, 0, 0 
21500, 2180, 820, 320, 0, 0 
25680, 2100, 460, 500, 20, 0 
28620, 2400, 560, 380, 0, 0 
26000, 1900, 400, 320, 0, 0 
25960, 2040, 400, 340, 20, 0 
19780, 2360, 680, 300, 0, 0 
17560, 1580, 480, 460, 20, 0 
18420, 2060, 800, 560, 0, 0 
19760, 2000, 560, 500, 20, 0 
20560, 1820, 500, 640, 20, 0 
21880, 2100, 600, 480, 0, 0 
