0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
15540, 2300, 660, 620, 60, 0 
15020, 1820, 600, 460, 80, 0 
12740, 2000, 440, 460, 60, 20 
14660, 2040, 500, 220, 20, 20 
13240, 1960, 440, 420, 40, 0 
13060, 1880, 540, 380, 60, 0 
14580, 2020, 540, 420, 20, 20 
14200, 2240, 500, 320, 20, 0 
14480, 1880, 600, 360, 80, 0 
13220, 2400, , 580, 60, 20 
13900, 1860, 700, 580, 80, 0 
13000, 2320, 460, 520, 40, 0 
13600, 1720, 700, 440, 0, 0 
13980, 1800, 440, 420, 0, 0 
14280, 1680, 700, 660, 0, 0 
13840, 2380, 520, 500, 20, 0 
13620, 1480, 500, 500, 20, 0 
13860, 2060, 380, 460, 20, 40 
14420, 1900, 520, 560, 20, 20 
14080, 2080, 500, 740, 0, 0 
14320, 1700, 600, 620, 0, 0 
13920, 2040, 520, 560, 20, 0 
14220, 1680, 460, 560, 0, 0 
14300, 1880, 520, 540, 80, 0 
14560, 1640, 680, 660, 60, 40 
14940, 1860, 540, 380, 20, 0 
13160, 1720, 500, 340, 0, 20 
14060, 2060, 520, 400, 20, 0 
14260, 1760, 700, 340, 20, 0 
14940, 1760, 480, 560, 20, 20 
14060, 2240, 540, 520, 20, 20 
15460, 1860, 660, 760, 0, 40 
14440, 1900, 480, 520, 0, 20 
14380, 1760, 660, 480, 60, 20 
13320, 1740, 500, 580, 0, 20 
13900, 1520, 640, 420, 0, 40 
13060, 1360, 300, 400, 40, 0 
13680, 1860, 780, 440, 60, 0 
13120, 1960, 420, 580, 20, 0 
12940, 1780, 540, 220, 0, 0 
12800, 1480, 260, 640, 20, 0 
12600, 1980, 520, 400, 0, 0 
13480, 1900, 480, 420, 20, 0 
13260, 1420, 660, 300, 20, 0 
13380, 1760, 780, 540, 0, 0 
13260, 2040, 600, 560, 20, 0 
13720, 1860, 700, 420, 60, 0 
13720, 1880, 400, 400, 20, 0 
14180, 1980, 720, 480, 60, 0 
12480, 2200, 400, 480, 40, 20 
13640, 1760, 660, 500, 80, 0 
12640, 1840, 600, 620, 80, 20 
12580, 2000, 640, 680, 0, 0 
12700, 1900, 560, 700, 40, 0 
12720, 2040, 540, 680, 20, 20 
13760, 1720, 560, 500, 20, 0 
14300, 1760, 400, 460, 80, 0 
14480, 1620, 540, 500, 0, 20 
13820, 1620, 480, 440, 0, 0 
15380, 1920, 360, 320, 0, 0 
15860, 1900, 460, 560, 40, 0 
16040, 2040, 680, 520, 20, 0 
, 1860, 560, 400, 20, 0 
15220, 2000, 780, 580, 60, 0 
15300, 1940, 440, 580, 0, 20 
14920, 2180, 640, 500, 40, 20 
14540, 1900, 540, 520, 20, 20 
14540, 1920, 500, 440, 0, 20 
14940, 1580, 440, 520, 20, 0 
14780, 1640, 540, 540, 0, 0 
16160, 1760, 620, 500, 0, 0 
15940, 2100, 540, 720, 20, 0 
16260, 1960, 340, 460, 20, 0 
15140, 2100, 300, 340, 0, 0 
15660, 1780, 620, 400, 20, 0 
15320, 1660, 500, 380, 0, 0 
15000, 1720, 500, 540, 80,  
15720, 1900, 620, 620, 20, 0 
15900, 2180, 520, 420, 20, 0 
13700, 1960, 520, 560, 20, 0 
13220, 1740, 480, 500, 0, 0 
13740, 1960, 520, 420, 0, 0 
14600, 1840, 500, 600, 40, 0 
13780, 1840, 580, 500, 20, 0 
13640, 2000, 580, 320, 20, 0 
