,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,21240.0,2150.0,660.0,580.0,40.0,0.0,42.5
1,19680.0,2060.0,600.0,520.0,20.0,0.0,98.5
2,18520.0,2260.0,700.0,580.0,20.0,0.0,73.5
3,17720.0,2040.0,600.0,500.0,20.0,0.0,111.0
4,37160.0,2000.0,600.0,480.0,20.0,0.0,82.0
5,39760.0,1960.0,560.0,480.0,20.0,0.0,107.5
6,42860.0,2380.0,640.0,520.0,20.0,0.0,96.0
7,35480.0,1660.0,520.0,440.0,20.0,0.0,99.0
8,37730.0,1880.0,560.0,460.0,20.0,0.0,69.5
9,35520.0,1720.0,500.0,420.0,20.0,0.0,75.5
10,17620.0,1700.0,500.0,420.0,20.0,0.0,67.0
11,17260.0,1820.0,520.0,440.0,20.0,0.0,81.0
12,18400.0,1920.0,580.0,440.0,20.0,0.0,55.5
13,17840.0,1880.0,600.0,600.0,40.0,20.0,76.0
14,18930.0,2040.0,620.0,500.0,20.0,0.0,138.0
15,23720.0,2700.0,750.0,640.0,60.0,0.0,84.5
16,18600.0,2060.0,580.0,460.0,40.0,0.0,96.0
17,17920.0,1840.0,500.0,420.0,20.0,0.0,102.0
