,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,21850.0,1180.0,320.0,280.0,0.0,0.0,39.0
1,20840.0,1200.0,340.0,320.0,20.0,0.0,89.0
2,21200.0,1470.0,400.0,350.0,20.0,0.0,65.0
3,20990.0,1280.0,360.0,300.0,20.0,0.0,103.5
4,20000.0,1340.0,380.0,300.0,20.0,0.0,74.0
5,19620.0,1200.0,340.0,300.0,20.0,0.0,97.0
6,20220.0,1340.0,360.0,320.0,20.0,0.0,93.5
7,19820.0,1320.0,380.0,340.0,20.0,0.0,87.5
8,18990.0,1260.0,360.0,300.0,20.0,0.0,70.5
9,18860.0,1200.0,340.0,300.0,20.0,0.0,65.0
10,18480.0,1210.0,340.0,300.0,20.0,0.0,55.5
11,20860.0,1220.0,340.0,300.0,20.0,0.0,70.0
12,20260.0,1240.0,340.0,300.0,20.0,0.0,78.0
13,19880.0,1280.0,340.0,300.0,20.0,0.0,70.5
14,19720.0,1310.0,360.0,320.0,20.0,0.0,165.0
15,20500.0,1700.0,600.0,680.0,120.0,20.0,79.0
16,18620.0,1240.0,340.0,300.0,20.0,0.0,90.0
17,18420.0,1220.0,360.0,280.0,20.0,0.0,103.0
