,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,21400.0,2950.0,960.0,940.0,40.0,0.0,49.0
1,22600.0,3120.0,1060.0,920.0,60.0,0.0,84.0
2,19140.0,2760.0,960.0,840.0,20.0,0.0,96.0
3,19390.0,2900.0,1000.0,900.0,40.0,0.0,112.5
4,16240.0,2520.0,880.0,780.0,40.0,0.0,82.0
5,17400.0,2760.0,960.0,840.0,40.0,0.0,111.5
6,19320.0,2980.0,1100.0,980.0,40.0,0.0,105.0
7,16800.0,2540.0,900.0,740.0,20.0,0.0,97.5
8,15740.0,2420.0,860.0,740.0,40.0,0.0,90.0
9,15430.0,2430.0,840.0,700.0,40.0,0.0,73.5
10,16330.0,2460.0,860.0,760.0,40.0,0.0,63.5
11,17650.0,2460.0,840.0,720.0,20.0,0.0,107.5
12,17030.0,2380.0,800.0,640.0,20.0,0.0,81.5
13,17180.0,2320.0,840.0,760.0,40.0,0.0,82.5
14,18180.0,2400.0,840.0,780.0,40.0,0.0,186.5
15,22860.0,3370.0,1100.0,1000.0,60.0,20.0,67.5
16,18080.0,2500.0,840.0,720.0,40.0,0.0,102.5
17,17540.0,2220.0,740.0,570.0,20.0,0.0,123.0
