Date,Time,Sample Period,Sample Volume,Sample Units,Count Mode,Concentration Mode,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Mode,Location Name,Sample Number,Cal. Value,Laser Current,0.3um (Cum. Counts),0.5um (Cum. Counts),1.0um (Cum. Counts),2.0um (Cum. Counts),5.0um (Cum. Counts),10.0um (Cum. Counts),Cal Alarm,Flow Alarm,Over Conc. Alarm,System Alarm,Count Alarm,Battery Alarm,Laser Alarm
2018/7/15,10:16:19,0:00:01,0.05,L,Dif.,Counts/L,22360,920,280,180,20,20,Automatic,Line16,32,2.68,54.1,1189,71,25,11,2,1,1,0,0,0,0,0,0
2018/7/15,10:16:20,0:00:01,0.05,L,Dif.,Counts/L,22040,860,380,300,0,20,Automatic,Line16,33,2.69,54.1,1180,78,35,16,1,1,1,0,0,0,0,0,0
2018/7/15,10:16:21,0:00:01,0.05,L,Dif.,Counts/L,22940,980,240,220,40,0,Automatic,Line16,34,2.69,54.1,1221,74,25,13,2,0,1,0,0,0,0,0,0
2018/7/15,10:16:22,0:00:01,0.05,L,Dif.,Counts/L,21060,1480,460,320,20,0,Automatic,Line16,35,2.69,54.1,1167,114,40,17,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:23,0:00:01,0.05,L,Dif.,Counts/L,20620,1360,320,360,20,0,Automatic,Line16,36,2.7,54.1,1134,103,35,19,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:24,0:00:01,0.05,L,Dif.,Counts/L,21120,1200,320,280,0,0,Automatic,Line16,37,2.7,54.1,1146,90,30,14,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:25,0:00:01,0.05,L,Dif.,Counts/L,22780,1420,320,260,0,20,Automatic,Line16,38,2.7,54.1,1240,101,30,14,1,1,1,0,0,0,0,0,0
2018/7/15,10:16:26,0:00:01,0.05,L,Dif.,Counts/L,21900,1260,340,340,0,0,Automatic,Line16,39,2.71,54.1,1192,97,34,17,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:27,0:00:01,0.05,L,Dif.,Counts/L,21960,1160,460,260,0,20,Automatic,Line16,40,2.69,54.1,1193,95,37,14,1,1,1,0,0,0,0,0,0
2018/7/15,10:16:28,0:00:01,0.05,L,Dif.,Counts/L,21760,1160,260,160,20,20,Automatic,Line16,41,2.69,54.1,1169,81,23,10,2,1,1,0,0,0,0,0,0
2018/7/15,10:16:29,0:00:01,0.05,L,Dif.,Counts/L,20940,1100,400,320,0,0,Automatic,Line16,42,2.68,54.1,1138,91,36,16,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:30,0:00:01,0.05,L,Dif.,Counts/L,22100,1160,180,280,0,0,Automatic,Line16,43,2.68,54.2,1186,81,23,14,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:31,0:00:01,0.05,L,Dif.,Counts/L,21260,1340,260,160,20,0,Automatic,Line16,44,2.67,54.2,1152,89,22,9,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:32,0:00:01,0.05,L,Dif.,Counts/L,21840,1080,280,360,0,0,Automatic,Line16,45,2.68,54.2,1178,86,32,18,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:33,0:00:01,0.05,L,Dif.,Counts/L,22540,1280,220,280,0,0,Automatic,Line16,46,2.68,54.3,1216,89,25,14,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:34,0:00:01,0.05,L,Dif.,Counts/L,21140,1240,280,340,0,0,Automatic,Line16,47,2.68,54.3,1150,93,31,17,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:35,0:00:01,0.05,L,Dif.,Counts/L,21920,1340,340,260,60,0,Automatic,Line16,48,2.68,54.3,1196,100,33,16,3,0,1,0,0,0,0,0,0
2018/7/15,10:16:36,0:00:01,0.05,L,Dif.,Counts/L,22700,980,320,240,0,0,Automatic,Line16,49,2.68,54.2,1212,77,28,12,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:37,0:00:01,0.05,L,Dif.,Counts/L,21080,1300,340,280,20,0,Automatic,Line16,50,2.68,54.2,1151,97,32,15,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:38,0:00:01,0.05,L,Dif.,Counts/L,21140,1220,240,280,0,0,Automatic,Line16,51,2.68,54.2,1144,87,26,14,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:39,0:00:01,0.05,L,Dif.,Counts/L,21320,1140,420,320,0,20,Automatic,Line16,52,2.69,54.2,1161,95,38,17,1,1,1,0,0,0,0,0,0
2018/7/15,10:16:40,0:00:01,0.05,L,Dif.,Counts/L,20360,1160,420,160,0,0,Automatic,Line16,53,2.69,54.2,1105,87,29,8,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:41,0:00:01,0.05,L,Dif.,Counts/L,20600,1140,340,440,0,0,Automatic,Line16,54,2.7,54.3,1126,96,39,22,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:42,0:00:01,0.05,L,Dif.,Counts/L,20820,1040,340,380,0,0,Automatic,Line16,55,2.71,54.3,1129,88,36,19,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:43,0:00:01,0.05,L,Dif.,Counts/L,22060,1340,420,240,80,0,Automatic,Line16,56,2.7,54.3,1207,104,37,16,4,0,1,0,0,0,0,0,0
2018/7/15,10:16:44,0:00:01,0.05,L,Dif.,Counts/L,20980,1300,300,320,0,20,Automatic,Line16,57,2.72,54.3,1146,97,32,17,1,1,1,0,0,0,0,0,0
2018/7/15,10:16:45,0:00:01,0.05,L,Dif.,Counts/L,21620,960,280,420,20,20,Automatic,Line16,58,2.73,54.3,1166,85,37,23,2,1,1,0,0,0,0,0,0
2018/7/15,10:16:46,0:00:01,0.05,L,Dif.,Counts/L,21800,1400,440,280,20,40,Automatic,Line16,59,2.73,54.3,1199,109,39,17,3,2,1,0,0,0,0,0,0
2018/7/15,10:16:47,0:00:01,0.05,L,Dif.,Counts/L,20420,1200,420,440,20,40,Automatic,Line16,60,2.72,54.3,1127,106,46,25,3,2,1,0,0,0,0,0,0
2018/7/15,10:16:48,0:00:01,0.05,L,Dif.,Counts/L,22280,1160,340,200,0,20,Automatic,Line16,61,2.72,54.3,1200,86,28,11,1,1,1,0,0,0,0,0,0
2018/7/15,10:16:49,0:00:01,0.05,L,Dif.,Counts/L,22820,940,340,240,20,0,Automatic,Line16,62,2.7,54.3,1218,77,30,13,1,0,1,0,0,0,0,0,0
2018/7/15,10:16:50,0:00:01,0.05,L,Dif.,Counts/L,22740,1280,300,300,0,0,Automatic,Line16,63,2.69,54.3,1231,94,30,15,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:51,0:00:01,0.05,L,Dif.,Counts/L,21160,980,220,320,0,0,Automatic,Line16,64,2.68,54.3,1134,76,27,16,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:52,0:00:01,0.05,L,Dif.,Counts/L,22540,1180,440,220,20,20,Automatic,Line16,65,2.67,54.3,1221,94,35,13,2,1,1,0,0,0,0,0,0
2018/7/15,10:16:53,0:00:01,0.05,L,Dif.,Counts/L,21020,1380,480,260,40,0,Automatic,Line16,66,2.68,54.3,1159,108,39,15,2,0,1,0,0,0,0,0,0
2018/7/15,10:16:54,0:00:01,0.05,L,Dif.,Counts/L,20980,1400,320,280,0,0,Automatic,Line16,67,2.68,54.3,1149,100,30,14,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:55,0:00:01,0.05,L,Dif.,Counts/L,21540,1000,480,240,0,0,Automatic,Line16,68,2.68,54.3,1163,86,36,12,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:56,0:00:01,0.05,L,Dif.,Counts/L,22240,1380,380,260,0,0,Automatic,Line16,69,2.69,54.3,1213,101,32,13,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:57,0:00:01,0.05,L,Dif.,Counts/L,22940,840,240,340,0,0,Automatic,Line16,70,2.7,54.3,1218,71,29,17,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:58,0:00:01,0.05,L,Dif.,Counts/L,22760,1100,420,340,0,0,Automatic,Line16,71,2.7,54.3,1231,93,38,17,0,0,1,0,0,0,0,0,0
2018/7/15,10:16:59,0:00:01,0.05,L,Dif.,Counts/L,22980,1020,260,360,0,0,Automatic,Line16,72,2.71,54.3,1231,82,31,18,0,0,1,0,0,0,0,0,0
2018/7/15,10:17:00,0:00:01,0.05,L,Dif.,Counts/L,22080,1280,480,600,20,0,Automatic,Line16,73,2.72,54.3,1223,119,55,31,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:01,0:00:01,0.05,L,Dif.,Counts/L,24260,1020,500,280,20,0,Automatic,Line16,74,2.71,54.4,1304,91,40,15,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:02,0:00:01,0.05,L,Dif.,Counts/L,23740,1420,240,300,40,0,Automatic,Line16,75,2.7,54.4,1287,100,29,17,2,0,1,0,0,0,0,0,0
2018/7/15,10:17:03,0:00:01,0.05,L,Dif.,Counts/L,21320,1340,340,400,20,0,Automatic,Line16,76,2.7,54.4,1171,105,38,21,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:04,0:00:01,0.05,L,Dif.,Counts/L,21540,1260,320,380,60,20,Automatic,Line16,77,2.69,54.3,1179,102,39,23,4,1,1,0,0,0,0,0,0
2018/7/15,10:17:35,0:00:01,0.05,L,Dif.,Counts/L,21700,1120,280,240,40,40,Automatic,Line16,1,2.44,48.1,1171,86,30,16,4,2,0,0,0,0,0,0,0
2018/7/15,10:17:36,0:00:01,0.05,L,Dif.,Counts/L,20700,1020,360,360,20,20,Automatic,Line16,2,2.67,54.2,1124,89,38,20,2,1,0,0,0,0,0,0,0
2018/7/15,10:17:37,0:00:01,0.05,L,Dif.,Counts/L,21440,1080,440,400,40,20,Automatic,Line16,3,2.69,54.3,1171,99,45,23,3,1,0,0,0,0,0,0,0
2018/7/15,10:17:38,0:00:01,0.05,L,Dif.,Counts/L,21080,1120,260,320,0,0,Automatic,Line16,4,2.7,54.3,1139,85,29,16,0,0,0,0,0,0,0,0,0
2018/7/15,10:17:39,0:00:01,0.05,L,Dif.,Counts/L,21160,1080,300,200,0,0,Automatic,Line16,5,2.7,54.3,1137,79,25,10,0,0,1,0,0,0,0,0,0
2018/7/15,10:17:40,0:00:01,0.05,L,Dif.,Counts/L,21060,900,320,440,20,0,Automatic,Line16,6,2.71,54.3,1137,84,39,23,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:41,0:00:01,0.05,L,Dif.,Counts/L,20020,1060,480,340,0,0,Automatic,Line16,7,2.71,54.3,1095,94,41,17,0,0,1,0,0,0,0,0,0
2018/7/15,10:17:42,0:00:01,0.05,L,Dif.,Counts/L,22280,1100,340,220,80,0,Automatic,Line16,8,2.7,54.3,1201,87,32,15,4,0,1,0,0,0,0,0,0
2018/7/15,10:17:43,0:00:01,0.05,L,Dif.,Counts/L,20700,880,340,340,20,0,Automatic,Line16,9,2.69,54.3,1114,79,35,18,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:44,0:00:01,0.05,L,Dif.,Counts/L,20780,1380,180,340,20,0,Automatic,Line16,10,2.71,54.4,1135,96,27,18,1,0,1,0,0,0,0,0,0
2018/7/15,10:17:45,0:00:01,0.05,L,Dif.,Counts/L,20620,1080,480,260,20,20,Automatic,Line16,11,2.71,54.4,1124,93,39,15,2,1,1,0,0,0,0,0,0
2018/7/15,10:17:46,0:00:01,0.05,L,Dif.,Counts/L,22820,1180,380,260,0,20,Automatic,Line16,12,2.71,54.4,1233,92,33,14,1,1,1,0,0,0,0,0,0
2018/7/15,10:17:47,0:00:01,0.05,L,Dif.,Counts/L,21040,1060,360,360,0,0,Automatic,Line16,13,2.71,54.4,1141,89,36,18,0,0,1,0,0,0,0,0,0
