0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
15080, 2380, 460, 480, 20, 0 
14400, 1980, 560, 720, 80, 0 
14940, 2340, 600, 940, 60, 60 
15140, 2020, 740, 720, 80, 20 
13980, 1860, 680, 620, 140, 20 
15280, 1800, 820, 800, 100, 40 
15020, 2600, 760, 980, 220, 80 
14980, 2600, 720, 1180, 200,  
16240, 2460, 860, 1140, , 100 
15600, 1920, 740, 880, 100, 40 
14820, 2540, 800, 820, 140, 20 
14760, 2180, 640, 660, 80, 60 
15940, 2380, 540, 1140, 80, 40 
17120, 2360, 700, 720, 140, 120 
14920, 2020, 720, 660, 100, 80 
15960, 2120, 560, 500, 60, 80 
16400, 2260, 540, 640, 60, 20 
16440, 2080, 620, 360, 20, 0 
16020, 2180, 620, 500, 80, 0 
16000, 2560, 800, 700, 100, 40 
16240, 2580, 580, 640, 160, 20 
16100, 2740, 780, , 100, 60 
15860, 2520, 720, 1240, 180, 60 
15780, 2420, 1100, 1240, 140, 60 
14880, 3200, 1080, 1200, 140, 120 
15400, 2400, 860, 900, 180, 100 
16380, 2840, 760, 840, 140, 60 
16060, 2320, 800, 1100, 180, 40 
16940, 2640, 1000, 1100, 120, 40 
16040, 2600, 700, 800, 140, 40 
16220, 2580, 760, 900, 100, 40 
15140, 2240, 1000, 860, 100, 60 
16820, 2240, 740, 580, 80, 40 
15760, 2760, 980, 1000, 120, 100 
16580, 2640, 820, 740, 60, 20 
15680, 2900, 680, 660, 100, 60 
16040, 2480, 820, 1080, 80,  
15960, 2740, 800, 1020, 120, 20 
17140, 2760, 860, 1120, , 80 
15820, 2940, 1020, 1060, 120, 120 
15640, 2380, 580, 840, 140, 60 
15900, 2520, 960, 620, , 0 
14760, 2620, 720, 660, 120, 40 
14780, 2680, 800, 740, 100, 40 
14980, 1860, 740, 700, 60, 20 
14580, 2280, 720, 680, 140, 20 
15140, 2280, 520, 540, 40, 0 
14340, 2060, 660, 700, 20, 20 
14380, 2100, 600, 640, 80, 0 
15400, 1860, 540, 540, 20, 0 
15780, 2200, 740, 600, 0, 0 
14680, 2280, 500, 600, 20, 0 
15680, 2220, 820, 720, 20, 40 
15120, 2440, 440, 740, 20, 40 
16200, 2220, 560, 600, 60, 40 
14660, 2100, 640, 740, 80, 60 
14740, 1840, 740, 700, 60, 0 
14340, 2060, 740, 500, 0, 20 
14280, 2440, 620, 400, 40, 20 
15000, 2480, 460, 500, 60, 0 
15900, 2280, 580, 620, 100, 0 
15340, 2100, 580, 580, 40, 0 
14020, 2480, 800, 820, 100, 80 
15040, 2600, 720, 620, 140, 0 
14020, 2220, 800, 820, 40, 20 
13560, 2440, 480, 420, 20, 40 
14060, 2380, 860, 580, 100, 20 
14080, 1800, 740, 760, 20, 0 
14220, 2400, 960, 780, 60, 40 
15120, 2000, 740, 600, 20, 20 
14580, 2380, 980, 720, 100, 20 
15180, 2140, 760, 660, 40, 20 
14480, 2320, 760, 740, 140, 20 
14900, 1980, 800, 580, 80, 0 
15560, 2380, 500, 580, 60, 20 
14760, 2320, 560, 560, 100, 0 
14620, 2500, 720, 680, 40, 0 
14540, 2680, 880, 740, 100, 0 
14060, 2160, 700, 520, 40, 0 
14820, 1900, 480, 400, 80, 0 
14120, 2660, 560, 640, 40, 0 
14900, 1860, 700, 640, 40, 20 
14820, 2160, 600, 660, 80, 20 
13660, 2700, 580, 560, 20, 0 
15240, 2080, 640, 520, 60, 0 
13080, 2000, 560, 480, 20, 0 
14240, 1620, 660, 780, 0, 20 
14500, 2100, 500, 680, 40, 20 
14280, 1980, 640, 700, 40, 0 
15100, 2340, 380, 660, 60, 20 
14340, 2080, 580, 640, 20, 0 
14500, 2020, 580, 680, 80, 0 
14720, 2320, 600, 540, 0, 0 
13600, 2040, 460, 380, 20, 20 
13520, 1780, 480, 520, 40, 20 
14080, 2040, 660, 460, 40, 0 
14180, 2040, 560, 420, 120, 0 
13760, 2660, 800, 500, 20, 0 
13320, 2440, 600, 360, 0, 20 
13840, 2200, 620, 400, 60, 0 
13500, 1540, 520, 460, 40, 20 
13380, 2280, 680, 640, 0, 20 
12740, 2080, 700, 680, 60, 20 
14060, 2040, 480, 440, 20, 40 
19160, 2060, 380, 520, 20, 0 
17140, 2380, 520, 500, 20, 20 
19200, 2640, 580, 640, 20, 0 
18580, 2740, 740, 400, 40, 0 
19340, 2560, 640, 700, 60, 0 
17480, 2160, 500, 400, 20, 0 
15880, 2080, 440, 640, 20, 0 
17180, 2800, 700, 600, 180, 20 
18020, 2400, 700, 420, 60, 20 
17900, 2660, 660, 720, 60, 0 
18600, 2100, 560, 360, 40, 0 
, 2240, 660, 800, 20, 20 
17800, 2980, 600, 580, 100, 20 
17980, 2620, 660, 660, 40, 20 
16040, 2500, 660, 760, 40, 0 
17880, 2300, 640, 520, 100, 0 
17500, 2160, 640, 600, 40, 0 
17600, 2660, 920, 540, 20, 0 
16960, 2660, 600, 560, 0, 40 
16460, 2580, 660, 640, 20, 0 
17400, 2320, 780, 740, 60, 20 
17100, 2700, 680, 660, 20, 80 
14740, 2340, 760, 520, 80, 40 
17160, 2540, 640, 640, 40, 0 
16320, 2680, 640, 420, 80, 20 
15220, 2260, 600, 540, 0, 0 
15320, 2520, 780, 560, 100, 0 
15440, 2260, 680, 720, 40, 60 
15260, 2540, 760, 560, 20, 0 
14580, 2100, 420, 440, 0, 0 
15260, 2760, 600, 720, 40, 20 
