1
,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,18820,2340,620,720.0,60.0,0.0,1
1,19300,2020,600,440.0,0.0,0.0,2
2,19320,1880,580,520.0,20.0,0.0,3
3,20000,1700,500,440.0,0.0,0.0,4
4,19560,1460,680,360.0,40.0,0.0,5
5,20020,1860,740,560.0,40.0,0.0,6
6,20580,2020,360,360.0,20.0,0.0,7
7,19340,1780,540,500.0,20.0,0.0,8
8,18840,2360,420,380.0,20.0,0.0,9
9,19340,2060,500,420.0,20.0,0.0,10
10,20780,1960,900,480.0,0.0,0.0,11
11,20320,1800,640,520.0,60.0,20.0,12
12,20000,1900,640,540.0,20.0,0.0,13
13,20380,2000,820,520.0,20.0,0.0,14
14,20300,1920,620,480.0,80.0,20.0,15
15,20700,1980,640,460.0,0.0,20.0,16
16,20500,2040,720,460.0,20.0,0.0,17
17,20900,2060,420,340.0,0.0,0.0,18
18,20340,2220,880,360.0,0.0,0.0,19
19,21720,1820,500,520.0,60.0,0.0,20
20,20660,2120,420,640.0,40.0,0.0,21
21,20340,2100,480,420.0,0.0,0.0,22
22,21020,1740,580,480.0,40.0,0.0,23
23,20640,2440,620,520.0,0.0,0.0,24
24,19700,1940,580,520.0,20.0,0.0,25
25,19780,2160,580,420.0,20.0,0.0,26
26,20480,2160,700,400.0,40.0,0.0,27
27,20620,1820,620,620.0,20.0,0.0,28
28,21100,2060,440,500.0,0.0,0.0,29
29,20380,2060,660,500.0,40.0,0.0,30
30,19620,1960,780,520.0,20.0,0.0,31
31,20580,1620,600,600.0,0.0,40.0,32
32,20920,1920,680,640.0,40.0,0.0,33
33,21620,2140,440,460.0,20.0,0.0,34
34,20940,2360,720,1300.0,180.0,100.0,35
35,20920,2700,1040,,,,36
36,21380,2940,980,1340.0,320.0,,37
37,21740,2620,1060,,,80.0,38
38,20820,3060,1200,1460.0,300.0,,39
39,22320,2500,1020,1240.0,220.0,40.0,40
40,21380,2500,660,600.0,40.0,0.0,41
41,21180,1900,880,740.0,0.0,60.0,42
42,23300,2280,460,840.0,120.0,0.0,43
43,20260,2020,740,740.0,120.0,40.0,44
44,21280,2260,880,620.0,80.0,40.0,45
45,21980,2400,460,560.0,20.0,0.0,46
46,21260,2360,700,620.0,20.0,20.0,47
47,20900,2280,660,500.0,60.0,40.0,48
48,20900,2340,640,640.0,60.0,40.0,49
49,20440,2540,700,560.0,40.0,0.0,50
50,22960,2280,760,680.0,100.0,20.0,51
51,22300,2520,1020,960.0,120.0,0.0,52
52,23520,2860,900,1260.0,120.0,0.0,53
53,22580,2580,900,800.0,160.0,20.0,54
54,22420,2560,1040,1060.0,100.0,0.0,55
55,23180,2520,900,1020.0,80.0,40.0,56
56,22260,2540,900,1060.0,80.0,40.0,57
57,23620,2880,660,740.0,80.0,0.0,58
58,22960,2460,740,640.0,40.0,0.0,59
59,25200,2480,660,740.0,60.0,20.0,60
60,22400,2380,660,560.0,60.0,0.0,61
61,21320,2620,820,700.0,60.0,0.0,62
62,21620,2820,620,640.0,0.0,20.0,63
63,22400,2300,760,580.0,40.0,0.0,64
64,21500,2160,520,520.0,60.0,20.0,65
65,23280,2520,660,640.0,40.0,40.0,66
66,22820,1820,720,660.0,60.0,20.0,67
67,21220,2400,620,540.0,120.0,40.0,68
68,21140,2420,500,580.0,0.0,0.0,69
69,22200,2080,500,520.0,40.0,20.0,70
70,22920,2140,620,600.0,20.0,20.0,71
71,22420,2340,660,500.0,20.0,0.0,72
72,22300,2040,840,660.0,100.0,20.0,73
73,23040,2280,840,840.0,0.0,0.0,74
74,23660,2420,720,540.0,40.0,20.0,75
75,23080,2120,520,760.0,20.0,40.0,76
76,21560,2020,780,580.0,20.0,0.0,77
77,22020,2220,860,720.0,40.0,0.0,78
78,21520,1960,720,760.0,100.0,0.0,79
79,23180,2000,580,620.0,0.0,20.0,80
80,23440,2040,680,600.0,20.0,0.0,81
81,23220,1720,640,580.0,40.0,0.0,82
82,21860,2120,560,540.0,0.0,20.0,83
83,22260,2140,560,720.0,0.0,0.0,84
mean, 21391.666666666668, 2205.2380952380954, 687.3809523809524, 637.8048780487804, 51.46341463414634, 12.345679012345679, 42.5
max, 25200.0,3060.0,1200.0,1460.0,320.0,100.0,84.0
min, 18820.0,1460.0,360.0,340.0,0.0,0.0,1.0
std, 1303.4974577995768,317.44642348635773,171.6757875134381,230.5764348791738,60.37172813964079,19.89168198885353,24.392621835300936
median, 21240.0,2150.0,660.0,580.0,40.0,0.0,42.5
2
