,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,26670.0,1180.0,340.0,320.0,20.0,0.0,48.5
1,25680.0,1340.0,400.0,400.0,20.0,0.0,102.5
2,23250.0,1300.0,380.0,370.0,20.0,0.0,71.0
3,21340.0,1020.0,280.0,280.0,20.0,0.0,122.5
4,20920.0,1300.0,380.0,410.0,30.0,0.0,85.5
5,20120.0,1080.0,320.0,340.0,20.0,0.0,107.0
6,20880.0,1260.0,360.0,380.0,40.0,0.0,81.0
7,20040.0,940.0,300.0,280.0,20.0,0.0,93.5
8,19880.0,1010.0,320.0,280.0,20.0,0.0,89.5
9,19280.0,1160.0,340.0,340.0,40.0,0.0,65.0
10,20120.0,1260.0,380.0,360.0,40.0,0.0,54.0
11,23060.0,1120.0,300.0,280.0,20.0,0.0,65.5
12,22370.0,1100.0,320.0,320.0,20.0,0.0,66.5
13,20160.0,1000.0,300.0,300.0,20.0,0.0,79.0
14,20840.0,1020.0,320.0,300.0,20.0,0.0,162.0
15,26100.0,3060.0,1050.0,1360.0,240.0,80.0,79.5
16,21660.0,1140.0,320.0,300.0,20.0,0.0,87.0
17,22020.0,1200.0,340.0,300.0,20.0,0.0,113.0
