,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
0,29350.0,1660.0,390.0,340.0,20.0,0.0,47.5
1,28880.0,1740.0,440.0,420.0,20.0,0.0,92.5
2,26160.0,1500.0,440.0,400.0,20.0,0.0,69.5
3,23040.0,1380.0,380.0,360.0,20.0,0.0,106.0
4,20980.0,1400.0,400.0,380.0,20.0,0.0,81.0
5,22100.0,1650.0,440.0,420.0,20.0,0.0,94.5
6,22980.0,1780.0,520.0,500.0,40.0,0.0,96.5
7,19040.0,1420.0,420.0,400.0,20.0,0.0,95.0
8,18660.0,1360.0,400.0,340.0,20.0,0.0,86.5
9,18760.0,1360.0,380.0,340.0,20.0,0.0,64.0
10,18540.0,1420.0,380.0,340.0,20.0,0.0,58.5
11,16010.0,1160.0,340.0,280.0,20.0,0.0,62.0
12,15290.0,1120.0,360.0,320.0,20.0,0.0,68.5
13,15000.0,1100.0,340.0,300.0,20.0,0.0,81.5
14,16320.0,1220.0,360.0,340.0,20.0,0.0,162.0
15,23220.0,3270.0,1140.0,1480.0,240.0,80.0,72.0
16,17220.0,1340.0,440.0,420.0,40.0,0.0,96.5
17,17680.0,1320.0,380.0,360.0,40.0,0.0,97.5
